,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
639,0.0002739429473876953,3.814697265625e-06,1.9550323486328125e-05,False,7000,84385
640,0.00020194053649902344,3.5762786865234375e-06,1.4781951904296875e-05,True,7000,58664
641,0.0001862049102783203,3.0994415283203125e-06,1.239776611328125e-05,False,7000,55494
642,0.0001392364501953125,3.0994415283203125e-06,1.1205673217773438e-05,True,7000,39280
643,0.00024962425231933594,3.0994415283203125e-06,1.7404556274414062e-05,False,7000,76992
644,8.463859558105469e-05,3.0994415283203125e-06,6.9141387939453125e-06,True,7000,24375
645,0.00010037422180175781,2.86102294921875e-06,1.0967254638671875e-05,False,7000,28107
646,4.935264587402344e-05,3.0994415283203125e-06,7.152557373046875e-06,True,7000,14827
647,5.4836273193359375e-05,2.86102294921875e-06,8.106231689453125e-06,False,7000,15334
648,0.0001518726348876953,3.5762786865234375e-06,1.1682510375976562e-05,True,7000,44496
649,0.000278472900390625,3.0994415283203125e-06,1.6689300537109375e-05,False,7000,83352
650,0.00021648406982421875,3.337860107421875e-06,1.5020370483398438e-05,True,7000,64439
651,0.00026345252990722656,3.5762786865234375e-06,1.621246337890625e-05,False,7000,80325
652,2.384185791015625e-05,2.86102294921875e-06,7.3909759521484375e-06,True,7000,7215
653,0.000186920166015625,3.0994415283203125e-06,1.2159347534179688e-05,False,7000,56069
654,6.723403930664062e-05,3.337860107421875e-06,8.58306884765625e-06,True,7000,20244
655,0.0002465248107910156,3.0994415283203125e-06,1.6450881958007812e-05,False,7000,72768
656,1.811981201171875e-05,3.814697265625e-06,5.4836273193359375e-06,True,7000,4658
657,0.00017642974853515625,3.337860107421875e-06,1.1682510375976562e-05,False,7000,52321
658,7.677078247070312e-05,3.0994415283203125e-06,1.049041748046875e-05,True,7000,22948
659,9.34600830078125e-05,2.86102294921875e-06,8.344650268554688e-06,False,7000,24157
660,0.0003025531768798828,3.337860107421875e-06,1.6450881958007812e-05,True,7000,87600
661,0.00022554397583007812,3.0994415283203125e-06,1.52587890625e-05,False,7000,68203
662,3.7670135498046875e-05,2.6226043701171875e-06,5.4836273193359375e-06,True,7000,10962
663,0.0003268718719482422,3.337860107421875e-06,2.0742416381835938e-05,False,7000,99394
664,5.435943603515625e-05,2.86102294921875e-06,7.62939453125e-06,True,7000,15995
665,0.00016164779663085938,3.5762786865234375e-06,1.2874603271484375e-05,False,7000,49185
666,7.677078247070312e-05,3.337860107421875e-06,7.62939453125e-06,True,7000,23266
667,0.000110626220703125,2.86102294921875e-06,1.0728836059570312e-05,False,7000,32879
668,0.0002753734588623047,3.0994415283203125e-06,1.8835067749023438e-05,True,7000,82097
669,0.0003039836883544922,3.0994415283203125e-06,1.7404556274414062e-05,False,7000,91520
670,0.0003123283386230469,3.0994415283203125e-06,1.9073486328125e-05,True,7000,96807
671,0.00021123886108398438,3.0994415283203125e-06,1.4066696166992188e-05,False,7000,63011
672,9.72747802734375e-05,3.0994415283203125e-06,8.106231689453125e-06,True,7000,29707
673,0.00019168853759765625,2.86102294921875e-06,1.3828277587890625e-05,False,7000,57650
674,0.0002465248107910156,3.5762786865234375e-06,1.5497207641601562e-05,True,7000,73789
675,7.867813110351562e-05,3.0994415283203125e-06,8.58306884765625e-06,False,7000,22734
676,0.0003209114074707031,3.0994415283203125e-06,2.0503997802734375e-05,True,7000,98917
677,1.1920928955078125e-05,3.337860107421875e-06,6.4373016357421875e-06,False,7000,3254
678,0.00025010108947753906,3.0994415283203125e-06,1.5735626220703125e-05,True,7000,76540
679,0.0002884864807128906,3.0994415283203125e-06,1.6689300537109375e-05,False,7000,88923
680,0.00031375885009765625,3.0994415283203125e-06,1.9550323486328125e-05,True,7000,93256
681,9.441375732421875e-05,3.337860107421875e-06,8.344650268554688e-06,False,7000,29618
682,2.9802322387695312e-05,3.5762786865234375e-06,5.7220458984375e-06,True,7000,8776
683,0.00032520294189453125,3.337860107421875e-06,1.9311904907226562e-05,False,7000,98761
684,0.00016164779663085938,3.337860107421875e-06,1.0967254638671875e-05,True,7000,47153
685,0.0001773834228515625,3.337860107421875e-06,1.33514404296875e-05,False,7000,54154
686,3.9577484130859375e-05,2.6226043701171875e-06,7.867813110351562e-06,True,7000,12099
687,0.0002503395080566406,2.86102294921875e-06,1.6927719116210938e-05,False,7000,74976
688,0.00018143653869628906,3.337860107421875e-06,1.3828277587890625e-05,True,7000,54899
689,9.417533874511719e-05,2.6226043701171875e-06,9.059906005859375e-06,False,7000,28034
690,0.0002224445343017578,3.0994415283203125e-06,1.4781951904296875e-05,True,7000,64714
691,0.000125885009765625,2.6226043701171875e-06,1.2159347534179688e-05,False,7000,37905
692,8.7738037109375e-05,3.0994415283203125e-06,7.867813110351562e-06,True,7000,25297
693,4.076957702636719e-05,2.6226043701171875e-06,6.9141387939453125e-06,False,7000,11511
694,3.0279159545898438e-05,2.6226043701171875e-06,6.67572021484375e-06,True,7000,8543
695,6.103515625e-05,2.86102294921875e-06,5.9604644775390625e-06,False,7000,18253
696,8.916854858398438e-05,3.5762786865234375e-06,9.298324584960938e-06,True,7000,26306
697,0.0002715587615966797,3.5762786865234375e-06,1.5974044799804688e-05,False,7000,81639
698,0.0002548694610595703,3.0994415283203125e-06,1.6927719116210938e-05,True,7000,76385
699,0.0002598762512207031,3.0994415283203125e-06,1.621246337890625e-05,False,7000,78451
700,2.6464462280273438e-05,3.337860107421875e-06,5.4836273193359375e-06,True,8000,6625
